ATHLETE NAME,TEAM,SPORT,EVENT,MEDAL,CONTINENT,EVENT TYPE
Aaron Wilson,Australia,Lawn Bowls and Para Lawn Bowls,Men's Singles,G,Australia& Oceania,Single
Abbey Caldwell,Australia,Athletics and Para Athletics,Women's 1500m,B,Australia& Oceania,Single
Abigail Paduch,Australia,Judo,Women +78 kg,B,Australia& Oceania,Single
Alana King,Australia,Cricket T20,Cricket T20,G,Australia& Oceania,Mixed
Aleisha Power,Australia,Hockey,Women,S,Australia& Oceania,Mixed
Alex Anthony Saffy,Australia,Aquatics - Swimming and Para Swimming,Men's 100m Butterfly S10,S,Australia& Oceania,Single
Alex Perkins,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,G,Australia& Oceania,Mixed
Alex Wilson,Australia,3x3 Basketball,Women,B,Australia& Oceania,Mixed
Alexandra Kiroi-Bogatyreva,Australia,Gymnastics - Rhythmic,Team,S,Australia& Oceania,Mixed
Alexandra Kiroi-Bogatyreva,Australia,Gymnastics - Rhythmic,Clubs,G,Australia& Oceania,Single
Alexandra Kiroi-Bogatyreva,Australia,Gymnastics - Rhythmic,Individual All-Around,B,Australia& Oceania,Single
Alysia Lefau-Fakaosilea,Australia,Rugby Sevens,Women,G,Australia& Oceania,Mixed
Alyssa Healy,Australia,Cricket T20,Cricket T20,G,Australia& Oceania,Mixed
Amanda-Jade Wellington,Australia,Cricket T20,Cricket T20,G,Australia& Oceania,Mixed
Amber Merritt,Australia,3x3 Wheelchair Basketball,Women,S,Australia& Oceania,Mixed
Ambrosia Malone,Australia,Hockey,Women,S,Australia& Oceania,Mixed
Amy Lawton,Australia,Hockey,Women,S,Australia& Oceania,Mixed
Anabelle Luce Smith,Australia,Aquatics - Diving,Women's Synchronised 3m Springboard,G,Australia& Oceania,Mixed
Andrew Charter,Australia,Hockey,Men,G,Australia& Oceania,Mixed
Angela Ballard,Australia,Athletics and Para Athletics,Women's T53/54 1500m,S,Australia& Oceania,Single
Annabel Sutherland,Australia,Cricket T20,Cricket T20,G,Australia& Oceania,Mixed
Aoife Coughlan,Australia,Judo,Women -70 kg,G,Australia& Oceania,Single
Aran Zalewski,Australia,Hockey,Men,G,Australia& Oceania,Mixed
Ariarne Titmus,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,G,Australia& Oceania,Mixed
Ariarne Titmus,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Freestyle,G,Australia& Oceania,Single
Ariarne Titmus,Australia,Aquatics - Swimming and Para Swimming,Women's 400m Freestyle,G,Australia& Oceania,Single
Ariarne Titmus,Australia,Aquatics - Swimming and Para Swimming,Women's 800m Freestyle,G,Australia& Oceania,Single
Ash Gardner,Australia,Cricket T20,Cricket T20,G,Australia& Oceania,Mixed
Ashari Jesse Gill,Australia,Gymnastics - Rhythmic,Team,S,Australia& Oceania,Mixed
Ashleigh Brazill,Australia,Netball,Netball,G,Australia& Oceania,Mixed
Barry Lester,Australia,Lawn Bowls and Para Lawn Bowls,Men's Triples,S,Australia& Oceania,Mixed
Beau Wootton,Australia,Cycling - Track and Para Track,Men's Tandem B - Sprint,B,Australia& Oceania,Mixed
Ben Twist,Australia,Lawn Bowls and Para Lawn Bowls,Men's Triples,S,Australia& Oceania,Mixed
Benjamin Hance,Australia,Aquatics - Swimming and Para Swimming,Men's 200m Freestyle S14,S,Australia& Oceania,Single
Beth Mooney,Australia,Cricket T20,Cricket T20,G,Australia& Oceania,Mixed
Blake Cochrane,Australia,Aquatics - Swimming and Para Swimming,Men's 100m Breaststroke SB8,B,Australia& Oceania,Single
Blake Govers,Australia,Hockey,Men,G,Australia& Oceania,Mixed
Bradley Woodward,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,S,Australia& Oceania,Mixed
Bradley Woodward,Australia,Aquatics - Swimming and Para Swimming,Men's 100m Backstroke,B,Australia& Oceania,Single
Bradley Woodward,Australia,Aquatics - Swimming and Para Swimming,Men's 200m Backstroke,S,Australia& Oceania,Single
Brandon Starc,Australia,Athletics and Para Athletics,Men's High Jump,S,Australia& Oceania,Single
Breanna Scott,Australia,Gymnastics - Artistic,Women's Team,S,Australia& Oceania,Mixed
Brendon Smith,Australia,Aquatics - Swimming and Para Swimming,Men's 400m Individual Medley,S,Australia& Oceania,Single
Brianna Throssell,Australia,Aquatics - Swimming and Para Swimming,Women's 100m Butterfly,B,Australia& Oceania,Single
Brianna Throssell,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Butterfly,B,Australia& Oceania,Single
Brittany Mae O'Brien,Australia,Aquatics - Diving,Women's 1m Springboard,S,Australia& Oceania,Single
Brooke Buschkuehl,Australia,Athletics and Para Athletics,Women's Long Jump,S,Australia& Oceania,Single
Caitlin Anne Parker,Australia,Boxing,Women’s Over 70kg-75kg (Middleweight),B,Australia& Oceania,Single
Callum Peters,Australia,Boxing,Men’s Over 71kg-75kg (Middleweight),S,Australia& Oceania,Single
Cara Koenen,Australia,Netball,Netball,G,Australia& Oceania,Mixed
Carl Healey,Australia,Lawn Bowls and Para Lawn Bowls,Men's Triples,S,Australia& Oceania,Mixed
Cassiel Emmanuel Rousseau,Australia,Aquatics - Diving,Men's Synchronised 10m Platform,B,Australia& Oceania,Mixed
Cassiel Emmanuel Rousseau,Australia,Aquatics - Diving,Mixed Synchronised 10m Platform,B,Australia& Oceania,Mixed
Cassiel Emmanuel Rousseau,Australia,Aquatics - Diving,Men's 10m Platform,G,Australia& Oceania,Single
Cedric Dubler,Australia,Athletics and Para Athletics,Men's Decathlon,B,Australia& Oceania,Single
Charisma Amoe Tarrant,Australia,Weightlifting,Women's 87+kg,B,Australia& Oceania,Single
Charli Petrov,Australia,Aquatics - Diving,Women's Synchronised 10m Platform,G,Australia& Oceania,Mixed
Charlotte Caslick,Australia,Rugby Sevens,Women,G,Australia& Oceania,Mixed
Chelsea Hodges,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,G,Australia& Oceania,Mixed
Chelsea Hodges,Australia,Aquatics - Swimming and Para Swimming,Women's 100m Breaststroke,B,Australia& Oceania,Single
Chelsea Hodges,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Breaststroke,B,Australia& Oceania,Single
Cheryl Lindfield,Australia,Lawn Bowls and Para Lawn Bowls,Para Women's Pairs B6-B8,S,Australia& Oceania,Mixed
Chloe Moran,Australia,Cycling - Track and Para Track,Women's 4000m Team Pursuit,G,Australia& Oceania,Mixed
Chris Flavel,Australia,Lawn Bowls and Para Lawn Bowls,Para Men's Pairs B6-B8,S,Australia& Oceania,Mixed
Chris McHugh,Australia,Beach Volleyball,Men,G,Australia& Oceania,Single
Chunyi Feng,Australia,Table Tennis and Para Table Tennis,Women's Team,B,Australia& Oceania,Mixed
Claire Colwill,Australia,Hockey,Women,S,Australia& Oceania,Mixed
Cody Simpson,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,G,Australia& Oceania,Mixed
Cody Simpson,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,S,Australia& Oceania,Mixed
Col Pearse,Australia,Aquatics - Swimming and Para Swimming,Men's 100m Butterfly S10,G,Australia& Oceania,Single
Conor Leahy,Australia,Cycling - Track and Para Track,Men's 4000m Team Pursuit,B,Australia& Oceania,Mixed
Conor Leahy,Australia,Cycling - Track and Para Track,Men's 4000m Individual Pursuit,B,Australia& Oceania,Single
Courtney Bruce,Australia,Netball,Netball,G,Australia& Oceania,Mixed
Damien Delgado,Australia,Lawn Bowls and Para Lawn Bowls,Para Men's Pairs B6-B8,S,Australia& Oceania,Mixed
Daniel Beale,Australia,Hockey,Men,G,Australia& Oceania,Mixed
Daniel Geoffrey Craig Johnson,Australia,3x3 Basketball,Men,S,Australia& Oceania,Mixed
Daniel Golubovic,Australia,Athletics and Para Athletics,Men's Decathlon,S,Australia& Oceania,Single
Darcie Brown,Australia,Cricket T20,Cricket T20,G,Australia& Oceania,Mixed
Declan Tingay,Australia,Athletics and Para Athletics,"Men's 10,000m Race Walk",S,Australia& Oceania,Single
Demi Hayes,Australia,Rugby Sevens,Women,G,Australia& Oceania,Mixed
Dominique du Toit,Australia,Rugby Sevens,Women,G,Australia& Oceania,Mixed
Domonic Paul William Bedggood,Australia,Aquatics - Diving,Men's Synchronised 10m Platform,B,Australia& Oceania,Mixed
Edgardo Coumi,Australia,Boxing,Men’s Over 86kg-92kg (Heavyweight),B,Australia& Oceania,Single
Edward Ockenden,Australia,Hockey,Men,G,Australia& Oceania,Mixed
Eileen Cikamatana,Australia,Weightlifting,Women's 87kg,G,Australia& Oceania,Single
Eleanor Patterson,Australia,Athletics and Para Athletics,Women's High Jump,S,Australia& Oceania,Single
Elijah Winnington,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,G,Australia& Oceania,Mixed
Elijah Winnington,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,G,Australia& Oceania,Mixed
Elijah Winnington,Australia,Aquatics - Swimming and Para Swimming,Men's 200m Freestyle,B,Australia& Oceania,Single
Elijah Winnington,Australia,Aquatics - Swimming and Para Swimming,Men's 400m Freestyle,G,Australia& Oceania,Single
Elizabeth Dekkers,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Butterfly,G,Australia& Oceania,Single
Ella Sabljak,Australia,3x3 Wheelchair Basketball,Women,S,Australia& Oceania,Mixed
Ellen Ryan,Australia,Lawn Bowls and Para Lawn Bowls,Women's Pairs,G,Australia& Oceania,Mixed
Ellen Ryan,Australia,Lawn Bowls and Para Lawn Bowls,Women's Singles,G,Australia& Oceania,Single
Ellyse Perry,Australia,Cricket T20,Cricket T20,G,Australia& Oceania,Mixed
Emily Ann Boyd,Australia,Aquatics - Diving,Mixed Synchronised 10m Platform,B,Australia& Oceania,Mixed
Emily Beecroft,Australia,Aquatics - Swimming and Para Swimming,Women's 100m Freestyle S9,S,Australia& Oceania,Single
Emily Whitehead,Australia,Gymnastics - Artistic,Women's Team,S,Australia& Oceania,Mixed
Emily Whitehead,Australia,Gymnastics - Artistic,Women's Floor Exercise,B,Australia& Oceania,Single
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,G,Australia& Oceania,Mixed
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,G,Australia& Oceania,Mixed
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,G,Australia& Oceania,Mixed
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,G,Australia& Oceania,Mixed
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Women's 100m Butterfly,S,Australia& Oceania,Single
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Women's 100m Freestyle,B,Australia& Oceania,Single
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Butterfly,G,Australia& Oceania,Single
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Freestyle,G,Australia& Oceania,Single
Evan O’Hanlon,Australia,Athletics and Para Athletics,Men's T37/38 100m,G,Australia& Oceania,Single
Faith Nathan,Australia,Rugby Sevens,Women,G,Australia& Oceania,Mixed
Flynn Ogilvie,Australia,Hockey,Men,G,Australia& Oceania,Mixed
Flynn Southam,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,G,Australia& Oceania,Mixed
Flynn Southam,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,G,Australia& Oceania,Mixed
Flynn Southam,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,G,Australia& Oceania,Mixed
Georgia Baker,Australia,Cycling - Track and Para Track,Women's 4000m Team Pursuit,G,Australia& Oceania,Mixed
Georgia Baker,Australia,Cycling - Track and Para Track,Women's 25km Points Race,G,Australia& Oceania,Single
Georgia Baker,Australia,Cycling - Road,Women's Road Race,G,Australia& Oceania,Single
Georgia Godwin,Australia,Gymnastics - Artistic,Women's Team,S,Australia& Oceania,Mixed
Georgia Godwin,Australia,Gymnastics - Artistic,Women's All-Around,G,Australia& Oceania,Single
Georgia Godwin,Australia,Gymnastics - Artistic,Women's Balance Beam,S,Australia& Oceania,Single
Georgia Godwin,Australia,Gymnastics - Artistic,Women's Uneven Bars,S,Australia& Oceania,Single
Georgia Godwin,Australia,Gymnastics - Artistic,Women's Vault,G,Australia& Oceania,Single
Georgia Inglis,Australia,3x3 Wheelchair Basketball,Women,S,Australia& Oceania,Mixed
Georgia Wilson,Australia,Hockey,Women,S,Australia& Oceania,Mixed
Grace Brown,Australia,Cycling - Road,Women's Individual Time Trial,G,Australia& Oceania,Single
Grace Harris,Australia,Cricket T20,Cricket T20,G,Australia& Oceania,Mixed
Grace Stewart,Australia,Hockey,Women,S,Australia& Oceania,Mixed
Graeme Frislie,Australia,Cycling - Track and Para Track,Men's 4000m Team Pursuit,B,Australia& Oceania,Mixed
Greg Hire,Australia,3x3 Basketball,Men,S,Australia& Oceania,Mixed
Greta Hayes,Australia,Hockey,Women,S,Australia& Oceania,Mixed
Gretel Bueta,Australia,Netball,Netball,G,Australia& Oceania,Mixed
Hani Watson,Australia,Para Powerlifting,Women's Heavyweight,G,Australia& Oceania,Single
Hani Watson,Australia,Para Powerlifting,Women's Heavyweight,B,Australia& Oceania,Single
Hannah Dodd,Australia,3x3 Wheelchair Basketball,Women,S,Australia& Oceania,Mixed
Harrison Cassar,Australia,Judo,Men -90 kg,B,Australia& Oceania,Single
Holly Barratt,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Butterfly,S,Australia& Oceania,Single
Jack Ireland,Australia,Aquatics - Swimming and Para Swimming,Men's 200m Freestyle S14,B,Australia& Oceania,Single
Jacob Anderson,Australia,Hockey,Men,G,Australia& Oceania,Mixed
Jacob Birtwhistle,Australia,Triathlon and Para Triathlon,Mixed Team Relay,B,Australia& Oceania,Mixed
Jacob Templeton,Australia,Aquatics - Swimming and Para Swimming,Men's 50m Freestyle S13,B,Australia& Oceania,Single
Jake Bensted,Australia,Judo,Men -73 kg,B,Australia& Oceania,Single
Jake Harvie,Australia,Hockey,Men,G,Australia& Oceania,Mixed
Jake Kavanagh,Australia,3x3 Wheelchair Basketball,Men,G,Australia& Oceania,Mixed
Jake Whetton,Australia,Hockey,Men,G,Australia& Oceania,Mixed
James Bacueti,Australia,Gymnastics - Artistic,Men's Vault,B,Australia& Oceania,Single
James Moriarty,Australia,Cycling - Track and Para Track,Men's 4000m Team Pursuit,B,Australia& Oceania,Mixed
Jane-Anne Claxton,Australia,Hockey,Women,S,Australia& Oceania,Mixed
Jasmine Greenwood,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Individual Medley SM10,G,Australia& Oceania,Single
Jayden Lawrence,Australia,Wrestling,Men's Freestyle 86 kg,B,Australia& Oceania,Single
Jaydon Page,Australia,Athletics and Para Athletics,Men's T45-47 100m,S,Australia& Oceania,Single
Jemima Montag,Australia,Athletics and Para Athletics,"Women's 10,000m Race Walk",G,Australia& Oceania,Single
Jenna Strauch,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Breaststroke,S,Australia& Oceania,Single
Jeremy Hayward,Australia,Hockey,Men,G,Australia& Oceania,Mixed
Jess Jonassen,Australia,Cricket T20,Cricket T20,G,Australia& Oceania,Mixed
Jesse Southwell,Australia,Rugby Sevens,Women,G,Australia& Oceania,Mixed
Jesse Wagstaff,Australia,3x3 Basketball,Men,S,Australia& Oceania,Mixed
Jessica Gallagher,Australia,Cycling - Track and Para Track,Women's Tandem B - 1000m Time Trial,G,Australia& Oceania,Mixed
Jessica Gallagher,Australia,Cycling - Track and Para Track,Women's Tandem B - Sprint,G,Australia& Oceania,Mixed
Jessica Stenson,Australia,Athletics and Para Athletics,Women's Marathon,G,Australia& Oceania,Single
Jian Fang Lay,Australia,Table Tennis and Para Table Tennis,Women's Doubles,S,Australia& Oceania,Mixed
Jian Fang Lay,Australia,Table Tennis and Para Table Tennis,Women's Team,B,Australia& Oceania,Mixed
Joanna Weston,Australia,Netball,Netball,G,Australia& Oceania,Mixed
Jocelyn Bartram,Australia,Hockey,Women,S,Australia& Oceania,Mixed
Johan Durst,Australia,Hockey,Men,G,Australia& Oceania,Mixed
Jonathan Goerlach,Australia,Triathlon and Para Triathlon,Men's PTVI,B,Australia& Oceania,Single
Joshua Beltz,Australia,Hockey,Men,G,Australia& Oceania,Mixed
Joshua Duffy,Australia,Cycling - Track and Para Track,Men's 4000m Team Pursuit,B,Australia& Oceania,Mixed
Joshua Katz,Australia,Judo,Men -60 kg,B,Australia& Oceania,Single
Joshua Simmonds,Australia,Hockey,Men,G,Australia& Oceania,Mixed
Kaitlin Nobbs,Australia,Hockey,Women,S,Australia& Oceania,Mixed
Karri Somerville,Australia,Hockey,Women,S,Australia& Oceania,Mixed
Kate McDonald,Australia,Gymnastics - Artistic,Women's Team,S,Australia& Oceania,Mixed
Kate McDonald,Australia,Gymnastics - Artistic,Women's Balance Beam,G,Australia& Oceania,Single
Kate Moloney,Australia,Netball,Netball,G,Australia& Oceania,Mixed
Katharina Haecker,Australia,Judo,Women -63 kg,B,Australia& Oceania,Single
Katja Dedekind,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Freestyle S13,G,Australia& Oceania,Single
Kaye Frances Scott,Australia,Boxing,Women’s Over 66kg-70kg (Light Middleweight),S,Australia& Oceania,Single
Kaylee McKeown,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,G,Australia& Oceania,Mixed
Kaylee McKeown,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,G,Australia& Oceania,Mixed
Kaylee McKeown,Australia,Aquatics - Swimming and Para Swimming,Women's 100m Backstroke,G,Australia& Oceania,Single
Kaylee McKeown,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Backstroke,G,Australia& Oceania,Single
Kaylee McKeown,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Individual Medley,S,Australia& Oceania,Single
Kaylee McKeown,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Backstroke,B,Australia& Oceania,Single
Keira Stephens,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Individual Medley SM10,B,Australia& Oceania,Single
Kelsey-Lee Barber,Australia,Athletics and Para Athletics,Women's Javelin Throw,G,Australia& Oceania,Single
Kiah Melverton,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,G,Australia& Oceania,Mixed
Kiah Melverton,Australia,Aquatics - Swimming and Para Swimming,Women's 400m Freestyle,B,Australia& Oceania,Single
Kiah Melverton,Australia,Aquatics - Swimming and Para Swimming,Women's 400m Individual Medley,S,Australia& Oceania,Single
Kiah Melverton,Australia,Aquatics - Swimming and Para Swimming,Women's 800m Freestyle,S,Australia& Oceania,Single
Kiera Austin,Australia,Netball,Netball,G,Australia& Oceania,Mixed
Kirralee Hayes,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Freestyle S13,B,Australia& Oceania,Single
Kristina Clonan,Australia,Cycling - Track and Para Track,Women's 500m Time Trial,G,Australia& Oceania,Single
Kristina Krstic,Australia,Lawn Bowls and Para Lawn Bowls,Women's Pairs,G,Australia& Oceania,Mixed
Kurt Thomson,Australia,3x3 Wheelchair Basketball,Men,G,Australia& Oceania,Mixed
Kurtis Marschall,Australia,Athletics and Para Athletics,Men's Pole Vault,G,Australia& Oceania,Single
Kyle Bruce,Australia,Weightlifting,Men's 81kg,S,Australia& Oceania,Single
Kyle Chalmers,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,G,Australia& Oceania,Mixed
Kyle Chalmers,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,S,Australia& Oceania,Mixed
Kyle Chalmers,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,G,Australia& Oceania,Mixed
